物件名,平米単価,家賃,管理費・共益費,敷金,礼金,保証金,敷引・償却,部屋の特徴・設備,所在地,駅徒歩,間取り,間取り詳細,専有面積,バルコニー面積,階,向き,建物種別,構造,階建,築年数,築年月,損保,駐車場,入居,取引態様,条件,取り扱い店舗物件コード,SUUMO物件コード,総戸数,情報更新日,次回更新日,契約期間,仲介手数料,保証会社,ほか初期費用,ほか諸費用,備考,URL
ＴＢレジデンス大分駅前,1345.083488,29000,3000円,-,-,-,-,エアコン、エレベーター、駐輪場、宅配ボックス、電気コンロ、駅まで平坦、駅徒歩10分以内、バス停徒歩3分以内、敷地内ごみ置き場、プロパンガス、敷金・礼金不要,大分県大分市金池町２,ＪＲ日豊本線/大分駅 歩7分,ワンルーム,-,21.56,-,6階,東,マンション,鉄筋コン,6階/9階建,築37年,1988年5月,1.6万円2年,-,相談,仲介,-,223,100375261781,49戸,2024/06/28,次回更新日は情報更新日より１５日以内,-,3.19万円,保証会社利用必 月額賃料総額の80％　最低保証料25，000円,合計7.77万円（内訳：賃貸保証料:27520円/損害保険料:16000円/鍵交換代:12100円/メンテナンス費用:22000円）,定額水道料:2000円/町内会費:400円,ワンルームの単身向けのお部屋です,https://suumo.jp/chintai/jnc_000063543959/?bc=100375261781
金池マンション,1041.046996,35000,-,-,-,-,-,バルコニー、エアコン、ガスコンロ対応、エレベーター、都市ガス,大分県大分市金池町２,ＪＲ日豊本線/大分駅 歩5分,1LDK,-,33.62,-,2階,東,マンション,鉄筋コン,2階/6階建,築45年,1979年8月,要,-,即,仲介,二人入居可,476400305,100352472751,-,2024/06/27,次回更新日は情報更新日より１５日以内,-,-,保証会社利用必 賃貸保証料　２９，２８０円　更新無,合計4.58万円（内訳：その他初期費用45760円）,安心サポート1600円/月,-,https://suumo.jp/chintai/jnc_000086291070/?bc=100352472751
金池マンション,1160.023795,39000,-,-,-,-,-,バルコニー、ガスコンロ対応、エレベーター、CATV、都市ガス,大分県大分市金池町２,ＪＲ日豊本線/大分駅 歩5分,1LDK,-,33.62,-,3階,東,マンション,鉄筋コン,3階/6階建,築45年,1979年8月,要,-,相談,仲介,二人入居可/フリーレント1ヶ月,402880305,100258573055,-,2024/06/27,次回更新日は情報更新日より１５日以内,-,-,保証会社利用必 賃貸保証料　３２，４８０円　更新無,合計4.58万円（内訳：その他初期費用45760円）,安心サポート1600円/月,-,https://suumo.jp/chintai/jnc_000070806465/?bc=100258573055
金池ビル,1130.319149,34000,2000円,-,-,-,-,バストイレ別、バルコニー、エアコン、クロゼット、フローリング、TVインターホン、オートロック、室内洗濯置、シューズボックス、南向き、角住戸、駐輪場、宅配ボックス、光ファイバー、最上階、IHクッキングヒーター、全居室収納、保証人不要、冷蔵庫、二人入居相談、24時間緊急通報システム、全居室フローリング、デザイナーズ、洗濯機、ネット使用料不要、フリーレント、初期費用10万円以下、事務所相談、外壁コンクリート、ルームシェア相談、電子レンジ、家電付、家具付、3駅以上利用可、3沿線以上利用可、駅前、駅徒歩10分以内、バス停徒歩3分以内、敷地内ごみ置き場、当社管理物件、全居室6畳以上、都市ガス、高速ネット対応、敷金・礼金不要、IT重説 対応物件、初期費用カード決済可,大分県大分市金池町２,"ＪＲ久大本線/大分駅 歩7分
バス/金池 歩3分
ＪＲ豊肥本線/大分駅 歩7分",1K,洋6,30.08,-,4階,南,マンション,鉄筋コン,4階/4階建,築48年,1977年3月,-,-,24年7月上旬,代理,二人入居可/子供可/事務所利用相談/ルームシェア相談/フリーレント1ヶ月,10042238,100385870947,-,2024/06/28,次回更新日は情報更新日より１５日以内,普通借家 1年,1.1ヶ月,保証会社利用必 初回契約時：70％、月額：2％、最低月額保証料800円　学生契約は初回保証料1万円（月額保証料なし）,合計1.87万円（内訳：入居前殺虫作業　５５００円税込　鍵交換代　１３２００円税込）,Ｔサポートプラス　１６５０円／月額　更新事務手数料　６６００円／更新時　ハウスクリーニング　３３０００円／退去時　水道料　２２００円／月額　町内会費　４００円／月額,JR日豊本線 大分駅徒歩7分/巡回管理/写真は403号室更新事務手数料6000円（税別）/年月額3000円（税別）で家電4点レンタル可能（冷蔵庫・洗濯機・レンジ・掃除機）,https://suumo.jp/chintai/jnc_000068266595/?bc=100385870947
宮本ビル,1130.653266,45000,2000円,-,-,-,-,バストイレ別、エアコン、室内洗濯置、南向き、角住戸、温水洗浄便座、洗面所独立、即入居可、最上階、2沿線利用可、一部フローリング、3駅以上利用可、駅徒歩10分以内、バス停徒歩3分以内、上階無し、全居室6畳以上、プロパンガス、敷金・礼金不要,大分県大分市金池町２,"ＪＲ日豊本線/大分駅 歩9分
ＪＲ久大本線/古国府駅 歩25分
ＪＲ日豊本線/牧駅 歩36分",1LDK,洋6 LDK9,39.8,-,4階,南,アパート,鉄筋コン,4階/4階建,築44年,1980年12月,-,-,即,仲介,-,650,100372195675,6戸,2024/06/28,次回更新日は情報更新日より１５日以内,-,4.95万円,保証会社利用必 月額賃料総額の80％,-,-,1年未満の解約は違約金1ヵ月、鍵交換有,https://suumo.jp/chintai/jnc_000054329637/?bc=100372195675
グランデール金池,1585.695007,47000,5000円,-,-,-,-,バストイレ別、バルコニー、エアコン、クロゼット、フローリング、オートロック、室内洗濯置、シューズボックス、システムキッチン、南向き、温水洗浄便座、脱衣所、エレベーター、洗面所独立、洗面化粧台、2口コンロ、駐輪場、宅配ボックス、即入居可、IHクッキングヒーター、単身者相談、バイク置場、全居室フローリング、駅まで平坦、ネット使用料不要、フリーレント、全室南向き、学生相談、3駅以上利用可、3沿線以上利用可、駅徒歩10分以内、敷地内ごみ置き場、平面駐車場、当社管理物件、全居室6畳以上、全居室8畳以上、プロパンガス、洗面所にドア、玄関収納、敷金・礼金不要、IT重説 対応物件、初期費用カード決済可,大分県大分市金池町２,"ＪＲ久大本線/大分駅 歩10分
ＪＲ豊肥本線/大分駅 歩10分
ＪＲ日豊本線/大分駅 歩10分",1K,洋8.3,29.64,-,2階,南,マンション,鉄筋コン,2階/14階建,築16年,2009年3月,1.8万円2年,-,即,代理,学生希望/単身者限定/ルームシェア不可/フリーレント1ヶ月,10000996,100387832685,69戸,2024/06/28,次回更新日は情報更新日より１５日以内,普通借家 2年,1.1ヶ月,保証会社利用必 初回契約時：60％、月額：330円、初回保証料：総賃料×60％、月額保証料330円,合計6.05万円（内訳：入居セット　４４０００円税込　鍵交換代　１６５００円税込）,くらしの１１０番　１１００円／月額　退去時清掃代　３０８００円／退去時　水道料　２７５０円／月額　町内会費　４００円／月額,巡回管理,https://suumo.jp/chintai/jnc_000091600623/?bc=100387832685
グランデール金池,1653.17139,49000,5000円,-,-,-,-,バストイレ別、バルコニー、エアコン、ガスコンロ対応、クロゼット、フローリング、オートロック、室内洗濯置、シューズボックス、システムキッチン、南向き、温水洗浄便座、脱衣所、エレベーター、洗面所独立、洗面化粧台、2口コンロ、駐輪場、宅配ボックス、即入居可、単身者相談、バイク置場、全居室フローリング、駅まで平坦、ネット使用料不要、フリーレント、全室南向き、学生相談、3駅以上利用可、3沿線以上利用可、駅徒歩10分以内、敷地内ごみ置き場、平面駐車場、当社管理物件、全居室6畳以上、全居室8畳以上、プロパンガス、洗面所にドア、玄関収納、敷金・礼金不要、IT重説 対応物件、初期費用カード決済可,大分県大分市金池町２,"ＪＲ久大本線/大分駅 歩10分
ＪＲ豊肥本線/大分駅 歩10分
ＪＲ日豊本線/大分駅 歩10分",1K,洋8.3,29.64,-,5階,南,マンション,鉄筋コン,5階/14階建,築16年,2009年3月,1.8万円2年,-,即,代理,学生希望/単身者限定/ルームシェア不可/フリーレント1ヶ月,10105117,100387948455,69戸,2024/06/28,次回更新日は情報更新日より１５日以内,普通借家 2年,1.1ヶ月,保証会社利用必 初回契約時：60％、月額：330円、初回保証料：総賃料×60％、月額保証料330円,合計6.05万円（内訳：入居セット　４４０００円税込　鍵交換代　１６５００円税込）,くらしの１１０番　１１００円／月額　退去時清掃代　３０８００円／退去時　水道料　２７５０円／月額　町内会費　４００円／月額,巡回管理,https://suumo.jp/chintai/jnc_000091617536/?bc=100387948455
グランデール金池,1653.17139,49000,5000円,-,-,-,-,バストイレ別、バルコニー、エアコン、ガスコンロ対応、クロゼット、フローリング、オートロック、室内洗濯置、シューズボックス、システムキッチン、南向き、温水洗浄便座、脱衣所、エレベーター、洗面所独立、洗面化粧台、2口コンロ、駐輪場、宅配ボックス、即入居可、単身者相談、バイク置場、全居室フローリング、駅まで平坦、ネット使用料不要、フリーレント、全室南向き、学生相談、3駅以上利用可、3沿線以上利用可、駅徒歩10分以内、敷地内ごみ置き場、平面駐車場、当社管理物件、全居室6畳以上、全居室8畳以上、プロパンガス、洗面所にドア、玄関収納、敷金・礼金不要、IT重説 対応物件、初期費用カード決済可,大分県大分市金池町２,"ＪＲ久大本線/大分駅 歩10分
ＪＲ豊肥本線/大分駅 歩10分
ＪＲ日豊本線/大分駅 歩10分",1K,洋8.3,29.64,-,6階,南,マンション,鉄筋コン,6階/14階建,築16年,2009年3月,1.8万円2年,-,即,代理,学生希望/単身者限定/ルームシェア不可/フリーレント1ヶ月,10098249,100387832686,69戸,2024/06/28,次回更新日は情報更新日より１５日以内,普通借家 2年,1.1ヶ月,保証会社利用必 初回契約時：60％、月額：330円、初回保証料：総賃料×60％、月額保証料330円,合計6.05万円（内訳：入居セット　４４０００円税込　鍵交換代　１６５００円税込）,くらしの１１０番　１１００円／月額　退去時清掃代　３０８００円／退去時　水道料　２７５０円／月額　町内会費　４００円／月額,巡回管理,https://suumo.jp/chintai/jnc_000091600625/?bc=100387832686
グランデール金池,1653.17139,49000,5000円,-,-,-,-,バストイレ別、バルコニー、エアコン、ガスコンロ対応、クロゼット、フローリング、オートロック、室内洗濯置、シューズボックス、システムキッチン、南向き、温水洗浄便座、脱衣所、エレベーター、洗面所独立、洗面化粧台、2口コンロ、駐輪場、宅配ボックス、単身者相談、バイク置場、全居室フローリング、駅まで平坦、ネット使用料不要、フリーレント、全室南向き、学生相談、3駅以上利用可、3沿線以上利用可、駅徒歩10分以内、敷地内ごみ置き場、平面駐車場、当社管理物件、全居室6畳以上、全居室8畳以上、プロパンガス、洗面所にドア、玄関収納、敷金・礼金不要、IT重説 対応物件、初期費用カード決済可,大分県大分市金池町２,"ＪＲ久大本線/大分駅 歩10分
ＪＲ豊肥本線/大分駅 歩10分
ＪＲ日豊本線/大分駅 歩10分",1K,洋8.3,29.64,-,7階,南,マンション,鉄筋コン,7階/14階建,築16年,2009年3月,1.8万円2年,-,相談,代理,学生希望/単身者限定/ルームシェア不可/フリーレント1ヶ月,10105673,100387948449,69戸,2024/06/28,次回更新日は情報更新日より１５日以内,普通借家 2年,1.1ヶ月,保証会社利用必 初回契約時：60％、月額：330円、初回保証料：総賃料×60％、月額保証料330円,合計6.05万円（内訳：入居セット　４４０００円税込　鍵交換代　１６５００円税込）,くらしの１１０番　１１００円／月額　退去時清掃代　３０８００円／退去時　水道料　２７５０円／月額　町内会費　４００円／月額,巡回管理,https://suumo.jp/chintai/jnc_000091617540/?bc=100387948449
グランデール金池,1653.17139,49000,5000円,-,-,-,-,バストイレ別、バルコニー、エアコン、ガスコンロ対応、クロゼット、フローリング、オートロック、室内洗濯置、シューズボックス、システムキッチン、南向き、温水洗浄便座、脱衣所、エレベーター、洗面所独立、洗面化粧台、2口コンロ、駐輪場、宅配ボックス、即入居可、単身者相談、バイク置場、全居室フローリング、駅まで平坦、ネット使用料不要、フリーレント、全室南向き、学生相談、3駅以上利用可、3沿線以上利用可、駅徒歩10分以内、敷地内ごみ置き場、平面駐車場、当社管理物件、全居室6畳以上、全居室8畳以上、プロパンガス、洗面所にドア、玄関収納、敷金・礼金不要、IT重説 対応物件、初期費用カード決済可,大分県大分市金池町２,"ＪＲ久大本線/大分駅 歩10分
ＪＲ豊肥本線/大分駅 歩10分
ＪＲ日豊本線/大分駅 歩10分",1K,洋8.3,29.64,-,6階,南,マンション,鉄筋コン,6階/14階建,築16年,2009年3月,1.8万円2年,-,即,代理,学生希望/単身者限定/ルームシェア不可/フリーレント1ヶ月,10105278,100387948451,69戸,2024/06/28,次回更新日は情報更新日より１５日以内,普通借家 2年,1.1ヶ月,保証会社利用必 初回契約時：60％、月額：330円、初回保証料：総賃料×60％、月額保証料330円,合計6.05万円（内訳：入居セット　４４０００円税込　鍵交換代　１６５００円税込）,くらしの１１０番　１１００円／月額　退去時清掃代　３０８００円／退去時　水道料　２７５０円／月額　町内会費　４００円／月額,巡回管理,https://suumo.jp/chintai/jnc_000091617538/?bc=100387948451
グランデール金池,1653.17139,49000,5000円,-,-,-,-,バストイレ別、バルコニー、エアコン、ガスコンロ対応、クロゼット、フローリング、オートロック、室内洗濯置、シューズボックス、システムキッチン、南向き、温水洗浄便座、脱衣所、エレベーター、洗面所独立、洗面化粧台、2口コンロ、駐輪場、宅配ボックス、即入居可、単身者相談、バイク置場、全居室フローリング、駅まで平坦、ネット使用料不要、フリーレント、全室南向き、学生相談、3駅以上利用可、3沿線以上利用可、駅徒歩10分以内、敷地内ごみ置き場、平面駐車場、当社管理物件、全居室6畳以上、全居室8畳以上、プロパンガス、洗面所にドア、玄関収納、敷金・礼金不要、IT重説 対応物件、初期費用カード決済可,大分県大分市金池町２,"ＪＲ久大本線/大分駅 歩10分
ＪＲ豊肥本線/大分駅 歩10分
ＪＲ日豊本線/大分駅 歩10分",1K,洋8.3,29.64,-,6階,南,マンション,鉄筋コン,6階/14階建,築16年,2009年3月,1.8万円2年,-,即,代理,学生希望/単身者限定/ルームシェア不可/フリーレント1ヶ月,10105212,100387948453,69戸,2024/06/28,次回更新日は情報更新日より１５日以内,普通借家 2年,1.1ヶ月,保証会社利用必 初回契約時：60％、月額：330円、初回保証料：総賃料×60％、月額保証料330円,合計6.05万円（内訳：入居セット　４４０００円税込　鍵交換代　１６５００円税込）,くらしの１１０番　１１００円／月額　退去時清掃代　３０８００円／退去時　水道料　２７５０円／月額　町内会費　４００円／月額,巡回管理,https://suumo.jp/chintai/jnc_000091617537/?bc=100387948453
グランデール金池,1653.17139,49000,5000円,-,-,-,-,バストイレ別、バルコニー、エアコン、ガスコンロ対応、クロゼット、フローリング、オートロック、室内洗濯置、シューズボックス、システムキッチン、南向き、温水洗浄便座、脱衣所、エレベーター、洗面所独立、洗面化粧台、2口コンロ、駐輪場、宅配ボックス、即入居可、単身者相談、バイク置場、全居室フローリング、駅まで平坦、ネット使用料不要、フリーレント、全室南向き、学生相談、3駅以上利用可、3沿線以上利用可、駅徒歩10分以内、敷地内ごみ置き場、平面駐車場、当社管理物件、全居室6畳以上、全居室8畳以上、プロパンガス、洗面所にドア、玄関収納、敷金・礼金不要、IT重説 対応物件、初期費用カード決済可,大分県大分市金池町２,"ＪＲ久大本線/大分駅 歩10分
ＪＲ豊肥本線/大分駅 歩10分
ＪＲ日豊本線/大分駅 歩10分",1K,洋8.3,29.64,-,5階,南,マンション,鉄筋コン,5階/14階建,築16年,2009年3月,1.8万円2年,-,即,代理,学生希望/単身者限定/ルームシェア不可/フリーレント1ヶ月,10098220,100387832682,69戸,2024/06/28,次回更新日は情報更新日より１５日以内,普通借家 2年,1.1ヶ月,保証会社利用必 初回契約時：60％、月額：330円、初回保証料：総賃料×60％、月額保証料330円,合計6.05万円（内訳：入居セット　４４０００円税込　鍵交換代　１６５００円税込）,くらしの１１０番　１１００円／月額　退去時清掃代　３０８００円／退去時　水道料　２７５０円／月額　町内会費　４００円／月額,巡回管理,https://suumo.jp/chintai/jnc_000091600624/?bc=100387832682
グランデール金池,1653.17139,49000,5000円,-,-,-,-,バストイレ別、バルコニー、エアコン、ガスコンロ対応、クロゼット、フローリング、オートロック、室内洗濯置、シューズボックス、システムキッチン、南向き、温水洗浄便座、脱衣所、エレベーター、洗面所独立、洗面化粧台、2口コンロ、駐輪場、宅配ボックス、即入居可、単身者相談、バイク置場、全居室フローリング、駅まで平坦、ネット使用料不要、フリーレント、全室南向き、学生相談、3駅以上利用可、3沿線以上利用可、駅徒歩10分以内、敷地内ごみ置き場、平面駐車場、当社管理物件、全居室6畳以上、全居室8畳以上、プロパンガス、洗面所にドア、玄関収納、敷金・礼金不要、IT重説 対応物件、初期費用カード決済可,大分県大分市金池町２,"ＪＲ久大本線/大分駅 歩10分
ＪＲ豊肥本線/大分駅 歩10分
ＪＲ日豊本線/大分駅 歩10分",1K,洋8.3,29.64,-,6階,南,マンション,鉄筋コン,6階/14階建,築16年,2009年3月,1.8万円2年,-,即,代理,学生希望/単身者限定/ルームシェア不可/フリーレント1ヶ月,10105332,100387948457,69戸,2024/06/28,次回更新日は情報更新日より１５日以内,普通借家 2年,1.1ヶ月,保証会社利用必 初回契約時：60％、月額：330円、初回保証料：総賃料×60％、月額保証料330円,合計6.05万円（内訳：入居セット　４４０００円税込　鍵交換代　１６５００円税込）,くらしの１１０番　１１００円／月額　退去時清掃代　３０８００円／退去時　水道料　２７５０円／月額　町内会費　４００円／月額,巡回管理,https://suumo.jp/chintai/jnc_000091617539/?bc=100387948457
グランデール金池,1720.647773,51000,5000円,-,-,-,-,バストイレ別、バルコニー、エアコン、ガスコンロ対応、クロゼット、フローリング、オートロック、室内洗濯置、シューズボックス、システムキッチン、南向き、温水洗浄便座、脱衣所、エレベーター、洗面所独立、洗面化粧台、2口コンロ、駐輪場、宅配ボックス、即入居可、単身者相談、バイク置場、全居室フローリング、駅まで平坦、ネット使用料不要、フリーレント、全室南向き、学生相談、3駅以上利用可、3沿線以上利用可、駅徒歩10分以内、敷地内ごみ置き場、平面駐車場、当社管理物件、全居室6畳以上、全居室8畳以上、プロパンガス、洗面所にドア、玄関収納、敷金・礼金不要、IT重説 対応物件、初期費用カード決済可,大分県大分市金池町２,"ＪＲ久大本線/大分駅 歩10分
ＪＲ豊肥本線/大分駅 歩10分
ＪＲ日豊本線/大分駅 歩10分",1K,洋8.3,29.64,-,10階,南,マンション,鉄筋コン,10階/14階建,築16年,2009年3月,1.8万円2年,-,即,代理,学生希望/単身者限定/ルームシェア不可/フリーレント1ヶ月,10105875,100387948459,69戸,2024/06/28,次回更新日は情報更新日より１５日以内,普通借家 2年,1.1ヶ月,保証会社利用必 初回契約時：60％、月額：330円、初回保証料：総賃料×60％、月額保証料330円,合計6.05万円（内訳：入居セット　４４０００円税込　鍵交換代　１６５００円税込）,くらしの１１０番　１１００円／月額　退去時清掃代　３０８００円／退去時　水道料　２７５０円／月額　町内会費　４００円／月額,巡回管理,https://suumo.jp/chintai/jnc_000091617533/?bc=100387948459
